Entry_ID,Date Announced,Detected District,Detected State,State code,Num Cases,Current Status
535185,01-04-2021,North Tripura,Tripura,TR,1,Hospitalized
535186,01-04-2021,Sipahijala,Tripura,TR,2,Hospitalized
535187,01-04-2021,South Tripura,Tripura,TR,4,Hospitalized
535188,01-04-2021,West Tripura,Tripura,TR,17,Hospitalized
535189,01-04-2021,West Tripura,Tripura,TR,13,Recovered
535190,01-04-2021,Adilabad,Telangana,TG,13,Hospitalized
535191,01-04-2021,Bhadradri Kothagudem,Telangana,TG,6,Hospitalized
535192,01-04-2021,Hyderabad,Telangana,TG,201,Hospitalized
535193,01-04-2021,Jagtial,Telangana,TG,56,Hospitalized
535194,01-04-2021,Jangaon,Telangana,TG,9,Hospitalized
535195,01-04-2021,Jayashankar Bhupalapally,Telangana,TG,5,Hospitalized
535196,01-04-2021,Jogulamba Gadwal,Telangana,TG,6,Hospitalized
535197,01-04-2021,Kamareddy,Telangana,TG,27,Hospitalized
535198,01-04-2021,Karimnagar,Telangana,TG,23,Hospitalized
535199,01-04-2021,Khammam,Telangana,TG,16,Hospitalized
535200,01-04-2021,Komaram Bheem,Telangana,TG,7,Hospitalized
535201,01-04-2021,Mahabubnagar,Telangana,TG,22,Hospitalized
535202,01-04-2021,Mahabubabad,Telangana,TG,8,Hospitalized
535203,01-04-2021,Mancherial,Telangana,TG,11,Hospitalized
535204,01-04-2021,Medak,Telangana,TG,9,Hospitalized
535205,01-04-2021,Medchal Malkajgiri,Telangana,TG,79,Hospitalized
535206,01-04-2021,Mulugu,Telangana,TG,2,Hospitalized
535207,01-04-2021,Nagarkurnool,Telangana,TG,7,Hospitalized
535208,01-04-2021,Nalgonda,Telangana,TG,21,Hospitalized
535209,01-04-2021,Narayanpet,Telangana,TG,6,Hospitalized
535210,01-04-2021,Nirmal,Telangana,TG,78,Hospitalized
535211,01-04-2021,Nizamabad,Telangana,TG,45,Hospitalized
535212,01-04-2021,Peddapalli,Telangana,TG,9,Hospitalized
535213,01-04-2021,Rajanna Sircilla,Telangana,TG,12,Hospitalized
535214,01-04-2021,Ranga Reddy,Telangana,TG,76,Hospitalized
535215,01-04-2021,Sangareddy,Telangana,TG,36,Hospitalized
535216,01-04-2021,Siddipet,Telangana,TG,21,Hospitalized
535217,01-04-2021,Suryapet,Telangana,TG,10,Hospitalized
535218,01-04-2021,Vikarabad,Telangana,TG,12,Hospitalized
535219,01-04-2021,Wanaparthy,Telangana,TG,10,Hospitalized
535220,01-04-2021,Warangal Rural,Telangana,TG,9,Hospitalized
535221,01-04-2021,Warangal Urban,Telangana,TG,23,Hospitalized
535222,01-04-2021,Yadadri Bhuvanagiri,Telangana,TG,12,Hospitalized
535223,01-04-2021,,Telangana,TG,337,Recovered
535224,01-04-2021,,Telangana,TG,4,Deceased
535225,01-04-2021,Angul,Odisha,OR,24,Hospitalized
535226,01-04-2021,Balasore,Odisha,OR,5,Hospitalized
