Entry_ID,Date Announced,Detected District,Detected State,State code,Num Cases,Current Status
611707,18-05-2021,Angul,Odisha,OR,471,Hospitalized
611708,18-05-2021,Balasore,Odisha,OR,269,Hospitalized
611709,18-05-2021,Bargarh,Odisha,OR,320,Hospitalized
611710,18-05-2021,Bhadrak,Odisha,OR,350,Hospitalized
611711,18-05-2021,Balangir,Odisha,OR,291,Hospitalized
611712,18-05-2021,Boudh,Odisha,OR,250,Hospitalized
611713,18-05-2021,Cuttack,Odisha,OR,731,Hospitalized
611714,18-05-2021,Deogarh,Odisha,OR,114,Hospitalized
611715,18-05-2021,Dhenkanal,Odisha,OR,77,Hospitalized
611716,18-05-2021,Gajapati,Odisha,OR,56,Hospitalized
611717,18-05-2021,Ganjam,Odisha,OR,203,Hospitalized
611718,18-05-2021,Jagatsinghpur,Odisha,OR,159,Hospitalized
611719,18-05-2021,Jajpur,Odisha,OR,330,Hospitalized
611720,18-05-2021,Jharsuguda,Odisha,OR,312,Hospitalized
611721,18-05-2021,Kalahandi,Odisha,OR,599,Hospitalized
611722,18-05-2021,Kandhamal,Odisha,OR,54,Hospitalized
611723,18-05-2021,Kendrapara,Odisha,OR,162,Hospitalized
611724,18-05-2021,Kendujhar,Odisha,OR,204,Hospitalized
611725,18-05-2021,Khordha,Odisha,OR,1566,Hospitalized
611726,18-05-2021,Koraput,Odisha,OR,338,Hospitalized
611727,18-05-2021,Malkangiri,Odisha,OR,77,Hospitalized
611728,18-05-2021,Mayurbhanj,Odisha,OR,458,Hospitalized
611729,18-05-2021,Nabarangapur,Odisha,OR,334,Hospitalized
611730,18-05-2021,Nayagarh,Odisha,OR,273,Hospitalized
611731,18-05-2021,Nuapada,Odisha,OR,145,Hospitalized
611732,18-05-2021,Puri,Odisha,OR,472,Hospitalized
611733,18-05-2021,Rayagada,Odisha,OR,163,Hospitalized
611734,18-05-2021,Sambalpur,Odisha,OR,405,Hospitalized
611735,18-05-2021,Subarnapur,Odisha,OR,73,Hospitalized
611736,18-05-2021,Sundargarh,Odisha,OR,819,Hospitalized
611737,18-05-2021,State Pool,Odisha,OR,246,Hospitalized
611738,18-05-2021,Balangir,Odisha,OR,1,Deceased
611739,18-05-2021,Boudh,Odisha,OR,3,Deceased
611740,18-05-2021,Gajapati,Odisha,OR,2,Deceased
611741,18-05-2021,Kalahandi,Odisha,OR,3,Deceased
611742,18-05-2021,Khordha,Odisha,OR,3,Deceased
611743,18-05-2021,Koraput,Odisha,OR,2,Deceased
611744,18-05-2021,Nuapada,Odisha,OR,3,Deceased
611745,18-05-2021,Rayagada,Odisha,OR,2,Deceased
611746,18-05-2021,Sundargarh,Odisha,OR,3,Deceased
611747,18-05-2021,Dhalai,Tripura,TR,22,Hospitalized
611748,18-05-2021,Gomati,Tripura,TR,23,Hospitalized
611749,18-05-2021,Khowai,Tripura,TR,23,Hospitalized
611750,18-05-2021,North Tripura,Tripura,TR,64,Hospitalized
611751,18-05-2021,Sipahijala,Tripura,TR,72,Hospitalized
611752,18-05-2021,South Tripura,Tripura,TR,86,Hospitalized
611753,18-05-2021,Unokoti,Tripura,TR,43,Hospitalized
611754,18-05-2021,West Tripura,Tripura,TR,413,Hospitalized
611755,18-05-2021,Dhalai,Tripura,TR,40,Recovered
611756,18-05-2021,Gomati,Tripura,TR,10,Recovered
611757,18-05-2021,Khowai,Tripura,TR,8,Recovered
611758,18-05-2021,North Tripura,Tripura,TR,30,Recovered
611759,18-05-2021,Sipahijala,Tripura,TR,7,Recovered
611760,18-05-2021,South Tripura,Tripura,TR,12,Recovered
611761,18-05-2021,Unokoti,Tripura,TR,4,Recovered
611762,18-05-2021,West Tripura,Tripura,TR,158,Recovered
611763,18-05-2021,Khowai,Tripura,TR,1,Deceased
