Date,State,Confirmed,Recovered,Deceased,Total Tested
17-02-2021,Jharkhand,0,0,0,10785
18-02-2021,Jharkhand,1,0,0,14511
19-02-2021,Jharkhand,0,1,0,18371
08-03-2021,Gujarat,0,0,0,37043
25-03-2021,Manipur,2,-1,0,885
31-03-2021,Manipur,2,0,0,728
01-04-2021,Maharashtra,43186,32641,249,183198
01-04-2021,Madhya Pradesh,2546,1573,12,25656
01-04-2021,Gujarat,2410,2015,9,101022
01-04-2021,Chandigarh,257,223,1,2030
01-04-2021,Bihar,488,158,2,60262
01-04-2021,Andhra Pradesh,1271,464,3,31809
01-04-2021,Tripura,24,13,0,1884
01-04-2021,Odisha,394,121,0,29260
01-04-2021,Haryana,1609,964,9,26420
01-04-2021,Manipur,1,7,0,942
01-04-2021,Uttarakhand,500,125,2,17870
01-04-2021,Andaman and Nicobar Islands,1,4,0,1592
01-04-2021,Puducherry,260,43,1,2355
01-04-2021,Tamil Nadu,2817,1634,19,85876
01-04-2021,West Bengal,1274,534,2,25766
01-04-2021,Jammu and Kashmir,461,114,4,38075
01-04-2021,Telangana,887,337,4,59297
01-04-2021,Goa,265,104,1,2611
01-04-2021,Karnataka,4234,1599,18,115732
01-04-2021,Uttar Pradesh,2589,510,9,124221
01-04-2021,Kerala,2798,1835,11,54347
01-04-2021,Nagaland,5,0,0,225
01-04-2021,Meghalaya,2,1,0,1290
01-04-2021,Delhi,2790,1121,9,78073
01-04-2021,Lakshadweep,3,8,0,379
01-04-2021,Chhattisgarh,4617,1125,34,40857
01-04-2021,Rajasthan,1350,446,4,36616
01-04-2021,Punjab,3161,2291,58,40571
01-04-2021,Jharkhand,690,162,1,16725
01-04-2021,Assam,58,34,2,12253
01-04-2021,Himachal Pradesh,409,157,4,7203
01-04-2021,Mizoram,3,2,0,803
02-04-2021,Maharashtra,47920,24126,481,183378
02-04-2021,Madhya Pradesh,2777,1482,16,26514
02-04-2021,Gujarat,2640,2066,11,107206
02-04-2021,Chandigarh,287,139,1,2102
02-04-2021,Bihar,662,204,2,63846
02-04-2021,Andhra Pradesh,1288,610,5,31116
02-04-2021,Tripura,4,5,0,1053
02-04-2021,Odisha,461,218,0,30716
02-04-2021,Arunachal Pradesh,1,0,0,104
02-04-2021,Haryana,1861,1191,10,29128
02-04-2021,Manipur,5,12,0,859
02-04-2021,Uttarakhand,364,194,2,9655
02-04-2021,Andaman and Nicobar Islands,0,1,0,1545
02-04-2021,Puducherry,213,82,1,2596
02-04-2021,Tamil Nadu,3290,1715,12,86066
02-04-2021,West Bengal,1733,550,4,26986
02-04-2021,Jammu and Kashmir,517,171,5,40724
02-04-2021,Telangana,965,312,5,59343
02-04-2021,Goa,280,81,1,2029
02-04-2021,Karnataka,4991,1631,6,118933
02-04-2021,Uttar Pradesh,2953,782,16,147628
02-04-2021,Kerala,2509,2287,14,51783
02-04-2021,Nagaland,16,0,0,168
02-04-2021,Meghalaya,15,1,0,2585
02-04-2021,Delhi,3594,2084,14,87505
02-04-2021,Lakshadweep,7,2,0,192
02-04-2021,Chhattisgarh,4174,1260,43,34075
02-04-2021,Rajasthan,1422,499,2,38126
02-04-2021,Punjab,2873,2002,57,41945
02-04-2021,Jharkhand,694,137,1,18397
02-04-2021,Assam,63,38,0,12322
02-04-2021,Himachal Pradesh,406,285,4,4917
