DATE,STATE,CONFIRMED,RECOVERED,DECEASED,TOTAL TESTED
03-04-2021,Uttar Pradesh,3187,750,14,166143
13-04-2021,Jammu and Kashmir,1269,493,3,37016
17-04-2021,Himachal Pradesh,1392,656,12,10907
26-04-2021,Manipur,146,36,5,1088
06-05-2021,Chandigarh,759,693,9,2914
09-05-2021,Maharashtra,48401,60226,572,247466
10-05-2021,Delhi,12651,13306,319,66234
19-05-2021,Uttarakhand,4492,7333,193,36761
23-05-2021,Bihar,4002,8111,107,132590
08-04-2021,Tamil Nadu,4276,1869,19,85281
13-04-2021,Chandigarh,397,381,1,2785
16-04-2021,Maharashtra,63729,45335,398,272226
17-04-2021,Mizoram,62,1,\N,2070
26-04-2021,Uttarakhand,5058,1601,67,63120
28-04-2021,Assam,3045,1098,22,55480
30-04-2021,Bihar,15853,11194,80,98169
08-05-2021,West Bengal,19436,18243,127,63377
14-05-2021,Goa,2455,2960,61,6769
16-05-2021,Madhya Pradesh,7106,12345,79,75517
20-05-2021,Nagaland,326,218,11,2039
22-05-2021,Kerala,28514,45400,176,126028
09-04-2021,Uttarakhand,748,327,5,32169
13-04-2021,Bihar,4157,1047,14,93523
15-04-2021,West Bengal,6769,2387,22,42121
21-04-2021,Goa,1502,426,17,4089
23-04-2021,Madhya Pradesh,13590,10833,74,57176
03-05-2021,Nagaland,101,30,6,438
14-05-2021,Karnataka,41779,35879,373,127105
15-05-2021,Telangana,4298,6026,32,64362
16-05-2021,Gujarat,8210,14483,82,124128
19-05-2021,Puducherry,1759,1555,29,9007
04-04-2021,Goa,265,167,1,2057
06-04-2021,Madhya Pradesh,3722,2203,18,33493
10-04-2021,Nagaland,12,2,\N,588
21-04-2021,Karnataka,23558,6412,116,152281
22-04-2021,Telangana,5567,2251,23,102335
26-04-2021,Puducherry,747,515,10,3451
26-04-2021,Andaman and Nicobar Islands,51,53,\N,1679
10-05-2021,Lakshadweep,101,124,1,471
14-05-2021,Uttar Pradesh,15647,26179,311,263843
24-05-2021,Jammu and Kashmir,2237,3999,45,36272
04-04-2021,Karnataka,4553,2060,15,119881
05-04-2021,Telangana,1097,268,6,43070
06-04-2021,Gujarat,3280,2167,17,125383
21-04-2021,Uttar Pradesh,33106,14198,187,225570
29-04-2021,Jharkhand,5961,4755,145,36291
07-05-2021,Jammu and Kashmir,5443,2752,50,49718
19-05-2021,Tamil Nadu,34875,23863,365,170355
24-05-2021,Chandigarh,245,684,7,3095
25-05-2021,Sikkim,278,87,5,940
03-04-2021,Kerala,2541,1660,12,44779
04-04-2021,Uttar Pradesh,4136,863,31,177761
14-04-2021,Jammu and Kashmir,1086,372,5,37959
18-04-2021,Himachal Pradesh,788,532,10,8509
27-04-2021,Manipur,175,50,3,1845
01-05-2021,Tripura,173,67,2,4360
01-05-2021,Andhra Pradesh,19412,11579,61,98214
03-05-2021,Meghalaya,246,177,6,2041
07-05-2021,Chandigarh,890,797,8,3898
24-05-2021,Bihar,2844,5500,93,128033
09-04-2021,Tamil Nadu,5441,1890,23,88135
10-04-2021,Meghalaya,39,4,\N,2310
14-04-2021,Chandigarh,421,417,3,3085
17-04-2021,Maharashtra,67123,56783,419,272035
27-04-2021,Uttarakhand,5703,1471,96,37874
29-04-2021,Assam,3079,1797,26,67278
10-05-2021,Chhattisgarh,11867,13138,172,64809
15-05-2021,Goa,1957,3512,58,5571
16-05-2021,Sikkim,340,252,2,946
17-05-2021,Madhya Pradesh,5921,11513,77,64741
21-05-2021,Nagaland,309,225,13,1541
09-04-2021,Himachal Pradesh,662,501,7,8496
16-04-2021,West Bengal,6910,2818,26,40153
22-04-2021,Goa,1410,461,21,3906
24-04-2021,Madhya Pradesh,12918,11091,104,55879
30-04-2021,Kerala,37199,17500,49,149487
02-05-2021,Delhi,20394,24444,407,71997
15-05-2021,Karnataka,41664,34425,349,118345
16-05-2021,Telangana,3816,5892,27,44985
17-05-2021,Gujarat,7135,12342,81,121653
09-04-2021,Mizoram,36,3,\N,1388
11-04-2021,Nagaland,5,2,2,215
22-04-2021,Karnataka,25795,5624,123,162534
23-04-2021,Telangana,6206,3052,29,105602
24-04-2021,Gujarat,14097,6479,152,185034
27-04-2021,Puducherry,1021,690,13,6502
11-05-2021,Lakshadweep,105,104,\N,712
14-05-2021,Kerala,34694,31319,93,131375
15-05-2021,Uttar Pradesh,12513,28404,281,257081
25-05-2021,Jammu and Kashmir,2964,3623,53,41394
05-04-2021,Bihar,935,349,3,72418
22-04-2021,Uttar Pradesh,34254,16514,195,197033
06-05-2021,Karnataka,49058,18943,328,164441
07-05-2021,Telangana,11451,17183,87,141422
25-05-2021,Chandigarh,258,618,5,2966
02-04-2021,Nagaland,16,\N,\N,168
04-04-2021,Kerala,2802,2173,10,45171
18-04-2021,Puducherry,663,282,3,5070
18-04-2021,Andaman and Nicobar Islands,59,54,\N,2347
27-04-2021,Tamil Nadu,15830,14043,77,121549
02-05-2021,Tripura,247,41,\N,5318
04-05-2021,Meghalaya,339,204,\N,2302
19-05-2021,Ladakh,134,127,1,1422
11-04-2021,Meghalaya,28,40,\N,1886
11-05-2021,Chhattisgarh,9717,12786,199,63811
17-05-2021,Sikkim,70,224,5,190
20-05-2021,Delhi,3231,7831,233,58744
22-05-2021,Nagaland,252,214,13,1457
06-04-2021,Jammu and Kashmir,561,230,2,39657
